name,nationality,wins,was_champion
Hunter Worsham,United States,7,0
Khama Worthy,United States,16,0
Eric Wray,United States,5,0
Justin Wren,United States,13,0
JW Wright,Brazil,1,0
Chris Wright,United States,8,0
Jordan Wright,United States,12,0
Marcin Wrzosek,Poland,12,0
Wu Yanan,Puerto Rico,13,0
Wulijiburen,China,20,0
Wuziazibieke Jiahefu,Unlisted,29,0
Rubens Xavier,Brazil,5,0
Xiao Long,China,27,0
Xie Bin,Unlisted,13,0
Jamie Yager,United States,8,0
Eddie Yagin,United States,16,0
Rani Yahya,Brazil,28,0
Mohammad Yahya,United Arab Emirates,12,0
Alexander Yakovlev,Russia,24,0
Keiichiro Yamamiya,Japan,45,0
Kenichi Yamamoto,Japan,5,1
Yoshihisa Yamamoto,Japan,14,0
Atsushi Yamamoto,Japan,19,0
Norifumi Yamamoto,Japan,18,0
Hiroko Yamanaka,Japan,13,0
Goiti Yamauchi,Brazil,21,0
Takeshi Yamazaki,Japan,15,0
Yan Xiaonan,China,19,0
Petr Yan,Russia,18,1
Yan Qihui,Puerto Rico,25,0
Adam Yandiev,Russia,9,0
Adrian Yanez,United States,17,0
Dongi Yang,South Korea,13,0
Jianping Yang,China,11,0
Masutatsu Yano,Japan,2,0
Emmanuel Yarborough,United States,1,0
Cale Yarbrough,United States,8,0
Tadao Yasuda,Japan,2,0
Yoshiaki Yatsu,Japan,0,0
Chris Yee,United States,4,0
Yibugele,China,24,0
Yin Shuai,Unlisted,16,0
Yizha,Puerto Rico,25,0
Ashley Yoder,United States,8,0
Hirotaka Yokoi,Japan,11,0
Kazunori Yokota,Japan,25,0
John Yoo,United States,0,0
SangHoon Yoo,Unlisted,8,0
Joo Sang Yoo,South Korea,8,0
Dong Sik Yoon,South Korea,9,0
Yoshiyuki Yoshida,Japan,18,0
Hidehiko Yoshida,Japan,6,0
SuYoung You,United States,14,0
Kaitlin Young,United States,7,0
Artenus Young,Ireland,10,0
Trenell Young,Unlisted,11,0
Jason Young,England,9,0
Shane Young,New Zealand,13,0
Shanna Young,United States,9,0
Gauge Young,United States,8,0
Besam Yousef,Sweden,7,0
Han Ten Yun,South Korea,0,0
Rob Yundt,United States,9,0
Sodiq Yusuff,United States,13,0
Gilbert Yvel,Netherlands,39,0
Luke Zachrich,United States,14,0
Anton Zafir,Australia,7,0
Aiemann Zahabi,Canada,12,0
Joao Zaiden,Puerto Rico,10,0
Youssef Zalal,United States,17,0
Elizeu Zaleski dos Santos,Brazil,25,0
Zach Zane,United States,10,0
Roger Zapata,United States,4,0
Marius Zaromskis,Lithuania,20,0
David Zawada,Germany,17,0
Manolo Zecchini,Italy,11,0
Joao Zeferino,Brazil,21,0
Daniel Zellhuber,Mexico,15,0
Craig Zellner,United States,4,0
Rickson Zenidim,Brazil,14,0
Roman Zentsov,Russia,18,0
Carlos Zevallos,United States,3,0
Zhang Tiequan,China,15,0
Zhang Lipeng,China,23,1
Zhang Weili,China,26,1
Zhang Mingyang,Puerto Rico,18,0
Daermisi Zhawupasi,Unlisted,9,0
Daria Zhelezniakova,Puerto Rico,9,0
Yao Zhikui,Unlisted,2,0
Zhu Kangjie,Unlisted,20,0
Zhalgas Zhumagulov,Kazakhstan,14,0
Fares Ziam,France,17,0
Mike Zichelle,United States,8,0
James Zikic,England,21,0
Errol Zimmerman,Netherlands,0,0
Cat Zingano,United States,10,0
Igor Zinoviev,Russia,4,0
Dave Zitanick,United States,5,0
Alex Zuniga,United States,6,0
George Zuniga,United States,3,0
Allan Zuniga,Costa Rica,13,0
Virgil Zwicker,United States,15,0
