name,nationality,wins,was_champion
Rose Conceicao,Brazil,7,0
Carlos Condit,United States,32,1
Chris Condo,United States,0,0
Tristan Connelly,Canada,14,0
Marcos Conrado Jr.,Brazil,5,0
Jeremiah Constant,United States,11,0
Jonathan Contrestano,United States,6,0
Bob Cook,United States,5,0
Mike Cook,Unlisted,13,0
Chad Cook,United States,10,0
TJ Cook,Unlisted,13,0
Dewey Cooper,United States,2,0
Brett Cooper,United States,23,0
Bill Cooper,United States,2,0
Bobby Cooper,United States,12,0
Amanda Cooper,United States,3,0
Kit Cope,United States,6,0
Chris Cope,United States,8,0
Josh Copeland,United States,12,0
Michael Cora,United States,4,0
Akira Corassani,Sweden,12,0
Muhsin Corbbrey,United States,17,0
Daniel Cormier,United States,22,1
Nora Cornolle,France,8,0
Clint Coronel,United States,2,0
Henry Corrales,United States,13,0
Bethe Correia,Brazil,11,0
Wesley Correira,United States,20,0
Waldo Cortes-Acosta,United States,12,0
Tracy Cortez,United States,11,0
Reyes Cortez Jr.,United States,7,0
Chad Corvin,United States,5,0
Louis Cosce,United States,7,0
Orion Cosce,United States,8,0
Miguel Cosio,United States,1,0
Jadson Costa,United States,22,0
Guilherme Costa,Brazil,7,0
Paulo Costa,Brazil,14,0
Randy Costa,United States,6,0
Alessandro Costa,Brazil,14,0
Melquizael Costa,Brazil,22,0
Oscar Cota,Mexico,11,0
Patrick Cote,Canada,23,0
JC Cottrell,Brazil,17,0
JR Coughran,United States,4,0
Rashad Coulter,United States,9,0
Dave Courchaine,United States,20,0
Randy Couture,United States,19,1
Kim Couture,United States,3,0
Ryan Couture,United States,11,0
Nikk Covert,United States,3,0
Colby Covington,United States,17,1
Hailey Cowan,United States,7,0
Jeff Cox,United States,10,0
Nathan Coy,United States,15,0
Andrew Craig,United States,9,0
Paul Craig,Scotland,17,0
Dan Cramer,United States,11,0
Alberto Crane,United States,15,0
Tim Credeur,United States,12,0
Paul Creighton,United States,3,0
Helena Crevar,United States,0,0
Alexander Crispim,United States,8,0
Alex Crispin,England,0,0
Kevin Croom,United States,21,0
Kiefer Crosbie,Ireland,10,0
Ken Cross,Puerto Rico,11,0
Jeff Crotty,United States,1,0
Allen Crowder,United States,10,0
Daron Cruickshank,United States,18,0
Richard Crunkilton,United States,19,0
Jimmy Crute,Australia,12,0
Marcio Cruz,Brazil,8,0
Dominick Cruz,United States,24,1
Aalon Cruz,United States,8,0
Timmy Cuamba,Puerto Rico,8,0
Jay Cucciniello,Ireland,8,0
Emilio Cuellar,Mexico,6,0
Josh Culibao,Australia,11,0
Chris Culley,United States,20,0
Abel Cullum,United States,20,0
Zak Cummings,United States,25,0
Everett Cummings,United States,12,0
Patrick Cummins,United States,10,0
Luke Cummo,United States,6,0
Hugo Cunha,Unlisted,8,0
Alton Cunningham,United States,4,0
AJ Cunningham,Puerto Rico,11,0
Santo Curatolo,United States,6,0
Larry Cureton,United States,0,0
Jeff Curran,United States,36,0
Kailin Curran,United States,4,0
Pat Curran,United States,22,0
Will Currie,England,12,0
Chris Curtis,United States,31,0
Ion Cutelaba,Moldova,19,0
Gleidson Cutis,Puerto Rico,7,0
Sarah D'alelio,United States,11,0
Marcos da Matta,United States,11,0
Henrique da Silva,Brazil,14,0
Ariane da Silva,Brazil,17,0
Alex Da Silva,Brazil,21,0
Henrique Da Silva Lopes,Brazil,5,0
Nicolas Dalby,Denmark,23,0
Paul Daley,England,39,0
Dave Dalgliesh,Netherlands,30,0
Richard Dalton,United States,4,0
Aisling Daly,Ireland,16,0
Marko Damiani,United States,0,0
Leonardo Damiani,Italy,10,0
Rodrigo Damm,Brazil,13,0
Carina Damm,Brazil,2,0
